Rank,Artist,Song,Year
1,Gordon Jenkins and The Weavers,Goodnight Irene,1950
2,Nat King Cole,Mona Lisa,1950
3,Anton Karas,Third Man Theme,1950
4,Gary and Bing Crosby,Sam’s Song,1950
5,Gary and Bing Crosby,Simple Melody,1950
6,Teresa Brewer,"Music, Music, Music",1950
7,Guy Lombardo,Third Man Theme,1950
8,Red Foley,Chattanoogie Shoe Shine Boy,1950
9,Sammy Kaye,Harbor Lights,1950
10,Sammy Kaye and Don Cornell,It Isn’t Fair,1950
1,Nat King Cole,Too Young,1951
2,Tony Bennett,Because Of You,1951
3,Les Paul and Mary Ford,How High The Moon,1951
4,Rosemary Clooney,Come On-a My House,1951
5,Mario Lanza,Be My Love,1951
6,Weavers,On Top Of Old Smoky,1951
7,Tony Bennett,"Cold, Cold Heart",1951
8,Perry Como,If,1951
9,Mario Lanza,Loveliest Night Of The Year,1951
10,Patti Page,Tennessee Waltz,1951
1,Leroy Anderson,Blue Tango,1952
2,Kay Starr,Wheel Of Fortune,1952
3,Johnnie Ray,Cry,1952
4,Jo Stafford,You Belong To Me,1952
5,Vera Lynn,"Auf Wiederseh’n, Sweetheart",1952
6,Rosemary Clooney,Half As Much,1952
7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952
8,Patti Page,I Went To Your Wedding,1952
9,Al Martino,Here In My Heart,1952
10,Percy Faith,Delicado,1952
1,Percy Faith,Song From Moulin Rouge,1953
2,Les Paul and Mary Ford,Vaya Con Dios,1953
3,Patti Page,Doggie In The Window,1953
4,Eddie Fisher,I’m Walking Behind You,1953
5,Ames Brothers,"You, You, You",1953
6,Teresa Brewer,Till I Waltz Again With You,1953
7,Les Baxter,April In Portugal,1953
8,Perry Como,No Other Love,1953
9,Perry Como,Don’t Let The Stars Get In Your Eyes,1953
10,Frankie Laine,I Believe,1953
1,Kitty Kallen,Little Things Mean A Lot,1954
2,Perry Como,Wanted,1954
3,Rosemary Clooney,Hey There,1954
4,Crew Cuts,Sh-Boom,1954
5,Jo Stafford,Make Love To Me,1954
6,Eddie Fisher,Oh! My Pa-pa,1954
7,Four Knights,I Get So Lonely,1954
8,Four Aces,Three Coins In The Fountain,1954
9,Doris Day,Secret Love,1954
10,Archie Bleyer,Hernando’s Hideaway,1954
1,Perez Prado,Cherry Pink And Apple Blossom White,1955
2,Bill Haley and His Comets,Rock Around The Clock,1955
3,Mitch Miller,The Yellow Rose Of Texas,1955
4,Roger Williams,Autumn Leaves,1955
5,Les Baxter,Unchained Melody,1955
6,Bill Hayes,The Ballad Of Davy Crockett,1955
7,Four Aces,Love Is A Many Splendored Thing,1955
8,McGuire Sisters,Sincerely,1955
9,Pat Boone,Ain’t That A Shame,1955
10,Georgia Gibbs,Dance With Me Henry,1955
1,Elvis Presley,Heartbreak Hotel,1956
2,Elvis Presley,Don’t Be Cruel,1956
3,Nelson Riddle,Lisbon Antigua,1956
4,Platters,My Prayer,1956
5,Gogi Grant,The Wayward Wind,1956
6,Les Baxter,The Poor People Of Paris,1956
7,Doris Day,Whatever Will Be Will Be (Que Sera Sera),1956
8,Elvis Presley,Hound Dog,1956
9,Dean Martin,Memories Are Made Of This,1956
10,Kay Starr,Rock And Roll Waltz,1956
1,Elvis Presley,All Shook Up,1957
2,Pat Boone,Love Letters In The Sand,1957
3,Diamonds,Little Darlin’,1957
4,Tab Hunter,Young Love,1957
5,Jimmy Dorsey,So Rare,1957
6,Pat Boone,Don’t Forbid Me,1957
7,Guy Mitchell,Singing The Blues,1957
8,Sonny James,Young Love,1957
9,Elvis Presley,Too Much,1957
10,Perry Como,Round And Round,1957
1,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),1958
2,Everly Brothers,All I Have To Do Is Dream / Claudette,1958
3,Elvis Presley,Don’t / I Beg Of You,1958
4,David Seville,Witch Doctor,1958
